"filename", "language", "JavaScript", "comment", "blank", "total"
"e:\HTTP1\routes\activity.js", "JavaScript", 187, 0, 9, 196
"e:\HTTP1\routes\admin.js", "JavaScript", 13, 0, 3, 16
"e:\HTTP1\routes\announ.js", "JavaScript", 74, 0, 4, 78
"e:\HTTP1\routes\dataBase.js", "JavaScript", 121, 4, 14, 139
"e:\HTTP1\routes\group.js", "JavaScript", 57, 0, 2, 59
"e:\HTTP1\routes\home.js", "JavaScript", 66, 0, 6, 72
"e:\HTTP1\routes\login.js", "JavaScript", 52, 0, 5, 57
"e:\HTTP1\routes\modifyPassword.js", "JavaScript", 16, 63, 5, 84
"e:\HTTP1\routes\register.js", "JavaScript", 48, 0, 7, 55
"Total", "-", 634, 67, 55, 756
